SubjectID,Condition,Level,Pass,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
1,1,3,0,0.1730959,0.005934718,0.005934718,0.007912957,0.006923838,0.006923838,0.007912957,0.006923838,0.07912957,0.005934718,0.03264095,0.01879327,0.08605341,0.01681503,0.01582591,0.01088032,0.009891196,0.01285856,0.01285856,0.06726014,0.02176063,0.02274975,0.02472799,0.08308605,0.01582591,0.01681503,0.01681503,0.01780415,0.01681503,0.09297725,0.01978239,0.04747774,0.01285856,0,0,0
1,1,3,1,0.1113244,0.003838771,0.002559181,0.002559181,0.003198976,0.003838771,0.003838771,0.005758157,0.02431222,0.06909789,0.03326935,0.0537428,0.01727447,0.01535509,0.0140755,0.01599488,0.0140755,0.01535509,0.05118362,0.06269994,0.03198976,0.03390915,0.03774792,0.07997441,0.02303263,0.02303263,0.02495201,0.02303263,0.02431222,0.02367242,0.04670506,0.05118362,0.008317338,0.04478567,0,0
2,0,1,0,0.9423077,0.05769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0.2151394,0.01062417,0.01062417,0.5936255,0.01062417,0.01195219,0.01062417,0.01062417,0.01062417,0.01195219,0.01062417,0.01062417,0.01195219,0.01062417,0.05976096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01052632,0.06491228,0.3157895,0.07368422,0.01578947,0.01403509,0.01403509,0.01403509,0.01578947,0.01403509,0.01403509,0.01578947,0.01754386
2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,1,0.7296138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09012876,0.01144492,0.01287554,0.01144492,0.01144492,0.01144492,0.01287554,0.01144492,0.01144492,0.07296138,0.01287554
3,1,1,0,0.1621872,0.01482855,0.01575533,0.01482855,0.0871177,0.01853568,0.1065802,0.01668211,0.01390176,0.01390176,0.01297498,0.01297498,0.01482855,0.1251158,0,0,0,0,0,0.07692308,0.01853568,0.0176089,0.01668211,0.05189991,0.01482855,0.04355885,0.006487488,0.006487488,0.005560705,0.006487488,0.06302132,0.008341056,0.007414273,0.008341056,0.009267841,0.008341056
3,1,1,1,0.1944751,0.01436464,0.01325967,0.01436464,0.01436464,0.01436464,0.1690608,0.01657458,0.01546961,0.01546961,0.01436464,0.01325967,0.01767956,0.02099447,0.08950276,0,0,0,0,0,0.07845303,0.01325967,0.04530387,0.08397789,0.006629834,0.007734806,0.005524862,0.006629834,0.006629834,0.006629834,0.07624309,0.005524862,0.004419889,0.005524862,0.005524862,0.004419889
3,1,2,0,0.1255753,0.009204471,0.009204471,0.0105194,0.009204471,0.009861933,0.09598949,0.1104537,0.007232084,0.06180145,0.007232084,0.006574622,0.008547009,0.007232084,0.008547009,0.00591716,0.05719921,0.007232084,0.08021039,0.07429323,0.01183432,0.0105194,0.01183432,0.01183432,0.01183432,0.01183432,0.01249178,0.01183432,0.01183432,0.01117686,0.01183432,0.0295858,0.0348455,0.06245891,0.02629849,0.00591716
3,1,2,1,0.137163,0.01406799,0.01289566,0.01172333,0.01172333,0.01289566,0.01289566,0.1547479,0.09613129,0.01289566,0.01172333,0.01172333,0.01406799,0.01406799,0.01289566,0.01172333,0.01524033,0.08440797,0,0.06330597,0.01641266,0.01641266,0.01172333,0.01289566,0.01524033,0.01289566,0.01289566,0.01406799,0.01406799,0.01406799,0.01172333,0.04103165,0.009378663,0.06799531,0.005861665,0.007033997
3,1,3,0,0.09431525,0.01098191,0.01098191,0.01098191,0.01162791,0.01098191,0.01162791,0.0129199,0.01550388,0.0620155,0.0122739,0.04844961,0.0122739,0.01162791,0.0122739,0.01356589,0.0129199,0.01421189,0.01421189,0.09883721,0.04263566,0.04005168,0.04134367,0.06718346,0.02648579,0.01873385,0.01808786,0.01808786,0.03423773,0.04909561,0.05426357,0.009689922,0.008397933,0.05684755,0.005813953,0.006459949
3,1,3,1,0.09328683,0.004359198,0.004359198,0.005231038,0.004359198,0.004359198,0.004359198,0.06887533,0.003487358,0.002615519,0.04359198,0.01569311,0.07149085,0.04795118,0.02179599,0.01743679,0.01482127,0.01656495,0.1421099,0.03138623,0.02528335,0.02964255,0.02441151,0.08979948,0.01569311,0.01656495,0.01569311,0.01482127,0.01482127,0.01830863,0.1168265,0,0,0,0,0
4,0,1,0,0.2671233,0.01541096,0.01369863,0.01369863,0.01541096,0.01369863,0.06678082,0.01369863,0.07876712,0.04452055,0.07191781,0.04280822,0.04452055,0.04109589,0.08219178,0.01541096,0.01369863,0.01369863,0.01369863,0.01541096,0.04452055,0.01541096,0.04280822,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,0.2,0.02982456,0.02982456,0.2035088,0.02807018,0.02982456,0.02982456,0.02807018,0.02807018,0.03157895,0.02807018,0.02982456,0.01052632,0,0,0,0,0,0,0,0,0,0,0,0,0.08245614,0.01403509,0.01403509,0.01578947,0.01403509,0.01403509,0.01403509,0.01578947,0.07894737,0.01578947,0.01403509
4,0,2,0,0.3269896,0.04325259,0.01384083,0.01557093,0.01384083,0.01384083,0.07439446,0.01384083,0.01384083,0.01384083,0.01557093,0.08477509,0.04152249,0.0449827,0.04152249,0.04325259,0.04325259,0.06401385,0.01557093,0.01384083,0.01384083,0.01384083,0.01557093,0.005190311,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,1,0.3100917,0.0146789,0.1119266,0.1926606,0.05321101,0.04954128,0.05504587,0.2110092,0.001834862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,3,0,0.3641618,0.009248555,0.009248555,0.01040462,0.009248555,0.009248555,0.01040462,0.009248555,0.009248555,0.009248555,0.03930636,0.009248555,0.009248555,0.02312139,0.03121387,0.02890173,0.02774566,0.02890173,0.02890173,0.05780347,0.03930636,0.02774566,0.02890173,0.0300578,0.02774566,0.04971098,0.01040462,0.009248555,0.009248555,0.009248555,0.01271676,0.01156069,0,0,0,0
4,0,3,1,0.2857143,0.01393728,0.01393728,0.01567944,0.01393728,0.01393728,0.01393728,0.01567944,0.01393728,0.01393728,0.01567944,0.04878049,0.01393728,0.08710802,0.05400697,0.01393728,0.01567944,0.01393728,0.01393728,0.01567944,0.01393728,0.151568,0.04529617,0.0261324,0.01393728,0.01393728,0.01393728,0.01393728,0,0,0,0,0,0,0,0
5,1,1,0,0.2037037,0.01337449,0.01131687,0.01131687,0.01028807,0.01337449,0.2078189,0.01131687,0.01131687,0.01131687,0.01131687,0.009259259,0.1152263,0,0,0,0,0,0,0,0.0936214,0.01131687,0.009259259,0.009259259,0.08436213,0.00617284,0.005144033,0.005144033,0.004115226,0.005144033,0.004115226,0.007201646,0.09567901,0.00617284,0.00617284,0.00617284
5,1,1,1,0.1573157,0.01650165,0.01650165,0.01650165,0.01540154,0.08030803,0.09130913,0.1914191,0,0,0,0,0,0,0,0,0.01650165,0.00990099,0.00440044,0.00550055,0.0660066,0.00550055,0.06050605,0.00770077,0.00770077,0.05610561,0.00220022,0.00330033,0.00330033,0.00330033,0.07590759,0.06050605,0.00660066,0.00660066,0.00660066,0.00660066
5,1,2,0,0.1903827,0.008832188,0.008832188,0.007850834,0.009813542,0.008832188,0.110893,0.008832188,0.009813542,0.1177625,0.008832188,0.009813542,0.007850834,0.008832188,0.008832188,0.008832188,0.1746811,0.005888126,0.004906771,0.004906771,0.07065751,0.00686948,0.004906771,0.00686948,0.00686948,0.007850834,0.00686948,0.00686948,0.007850834,0.008832188,0.04612365,0.002944063,0.003925417,0.003925417,0.005888126,0.07752699
5,1,2,1,0.1487414,0.01372998,0.01144165,0.01372998,0.07093821,0.09038901,0.01372998,0.01258581,0.0160183,0.117849,0.01716247,0.01830664,0.01830664,0.0160183,0.01487414,0.0194508,0.06636155,0,0,0.05949657,0.01029748,0.008009152,0.008009152,0.01029748,0.008009152,0.009153318,0.009153318,0.009153318,0.009153318,0.006864988,0.01029748,0.04462242,0.003432494,0.005720824,0.1018307,0.006864988
5,1,3,0,0.1916509,0.01518027,0.008538899,0.008538899,0.004743833,0.005692599,0.005692599,0.005692599,0.09962049,0.006641366,0.0028463,0.0028463,0.0626186,0.0113852,0.009487666,0.0113852,0.007590133,0.008538899,0.008538899,0.009487666,0.1242884,0.01802657,0.0170778,0.01802657,0.08918406,0.07779886,0.0113852,0.009487666,0.01233397,0.0113852,0.05882353,0.06546489,0,0,0,0
5,1,3,1,0.2259768,0.004223865,0.004223865,0.004223865,0.004223865,0.004223865,0.005279831,0.005279831,0.04963041,0.08236536,0.006335798,0.005279831,0.003167899,0.0813094,0.01161563,0.0126716,0.0126716,0.0126716,0.0126716,0.0126716,0.08870117,0.02217529,0.02323126,0.08025344,0.01161563,0.0126716,0.01055966,0.01372756,0.0126716,0.01372756,0.1034847,0.04646251,0,0,0,0
6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,1,0.07417841,0.03380282,0.03380282,0.03380282,0.03380282,0.03474179,0.03380282,0.03380282,0.03380282,0.03380282,0.03380282,0.03286385,0.03286385,0.03380282,0.03286385,0.03286385,0.03192488,0.03192488,0.03286385,0.03286385,0.03192488,0.03286385,0.03286385,0.03192488,0.03192488,0.03286385,0.03286385,0.03192488,0.03286385,0,0,0,0,0,0,0
6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,1,0.2870201,0.05850092,0.05667276,0.05850092,0.05667276,0.05850092,0.05667276,0.05850092,0.05850092,0.05850092,0.05667276,0.05850092,0.05667276,0.02010969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
