SubjectID,Condition,TravelType,Level,Pass,ResponseTime,#InitIncorrectSwitch,#InitIncorrectWalking,#InitIncorrectSegway,#InitIncorrectSurfing,#IncorrectSwitch,#IncorrectWalking,#IncorrectSegway,#IncorrectSurfing
11,1,1,2,1,1.46106,2,2,0,0,0,0,0,0
11,1,2,2,0,2.262207,1,1,0,0,1,1,0,0
11,1,2,2,1,1.781982,1,1,0,0,0,0,0,0
11,1,0,3,0,1.541504,0,0,0,0,0,0,0,0
11,1,0,3,1,0.94104,0,0,0,0,0,0,0,0
11,1,1,3,0,13.3526,0,0,0,0,6,6,0,0
11,1,1,3,1,1.401978,2,2,0,0,0,0,0,0
11,1,2,3,0,2.442444,1,1,0,0,3,3,0,0
11,1,2,3,1,3.322998,3,3,0,0,0,0,0,0
12,0,0,1,0,0.5396729,0,0,0,0,0,0,0,0
12,0,0,1,1,0.8395081,0,0,0,0,0,0,0,0
12,0,1,1,0,0.8595886,0,0,0,0,0,0,0,0
12,0,1,1,1,0.7606812,0,0,0,0,0,0,0,0
12,0,2,1,0,1.560303,0,0,0,0,0,0,0,0
12,0,2,1,1,1.701721,1,0,1,0,0,0,0,0
12,0,0,2,0,3.478119,0,0,0,0,0,0,0,0
12,0,0,2,1,0.3998108,0,0,0,0,0,0,0,0
12,0,1,2,0,0.6396179,0,0,0,0,0,0,0,0
12,0,1,2,1,1.741699,0,0,0,0,0,0,0,0
12,0,2,2,0,1.2603,0,0,0,0,0,0,0,0
12,0,2,2,1,0.1200562,0,0,0,0,0,0,0,0
12,0,0,3,0,1.559082,0,0,0,0,0,0,0,0
12,0,0,3,1,0.3797913,0,0,0,0,0,0,0,0
12,0,1,3,0,0.860199,0,0,0,0,0,0,0,0
12,0,1,3,1,0.9007568,0,0,0,0,0,0,0,0
12,0,2,3,0,0.9595032,0,0,0,0,0,0,0,0
12,0,2,3,1,1.778992,0,0,0,0,0,0,0,0
15,1,0,1,0,4.164124,0,0,0,0,0,0,0,0
15,1,0,1,1,0.861084,0,0,0,0,0,0,0,0
15,1,1,1,0,6.466248,8,8,0,0,1,1,0,0
15,1,1,1,1,2.182007,1,1,0,0,0,0,0,0
15,1,2,1,0,15.53363,3,3,0,0,0,0,0,0
15,1,2,1,1,2.021973,2,2,0,0,0,0,0,0
15,1,0,2,0,0.8208008,0,0,0,0,0,0,0,0
15,1,0,2,1,0.02001953,0,0,0,0,0,0,0,0
15,1,1,2,0,6.36615,1,1,0,0,202,202,0,0
15,1,1,2,1,1.940918,1,1,0,0,4,4,0,0
15,1,2,2,0,6.636383,9,9,0,0,0,0,0,0
15,1,2,2,1,4.383911,5,5,0,0,0,0,0,0
15,1,0,3,0,0.901001,0,0,0,0,0,0,0,0
15,1,0,3,1,1.020996,0,0,0,0,0,0,0,0
15,1,1,3,0,8.428345,0,0,0,0,68,63,0,5
15,1,1,3,1,2.923096,3,3,0,0,1,1,0,0
15,1,2,3,0,3.263062,1,1,0,0,0,0,0,0
15,1,2,3,1,5.725952,5,5,0,0,0,0,0,0
16,0,0,1,0,3.080688,0,0,0,0,0,0,0,0
16,0,0,1,1,1.420898,0,0,0,0,0,0,0,0
16,0,1,1,0,0.9194946,0,0,0,0,0,0,0,0
16,0,1,1,1,0.8609009,0,0,0,0,0,0,0,0
16,0,2,1,0,1.499207,0,0,0,0,0,0,0,0
16,0,2,1,1,3.604004,0,0,0,0,0,0,0,0
16,0,0,2,0,1.299194,0,0,0,0,0,0,0,0
16,0,0,2,1,1.921753,0,0,0,0,0,0,0,0
16,0,1,2,0,1.858887,0,0,0,0,0,0,0,0
16,0,1,2,1,0.9609375,0,0,0,0,0,0,0,0
16,0,2,2,0,2.720596,0,0,0,0,0,0,0,0
16,0,2,2,1,0.94104,0,0,0,0,0,0,0,0
16,0,0,3,0,0.5397034,0,0,0,0,0,0,0,0
16,0,0,3,1,1.801758,0,0,0,0,0,0,0,0
16,0,1,3,0,1.159393,0,0,0,0,0,0,0,0
16,0,1,3,1,0.7007446,0,0,0,0,0,0,0,0
16,0,2,3,0,1.580307,0,0,0,0,0,0,0,0
16,0,2,3,1,1.141113,0,0,0,0,0,0,0,0
17,1,0,1,0,2.478577,0,0,0,0,0,0,0,0
17,1,0,1,1,0.9609985,0,0,0,0,0,0,0,0
17,1,1,1,0,2.862793,28,28,0,0,0,0,0,0
17,1,1,1,1,1.821838,1,1,0,0,1,1,0,0
17,1,2,1,0,2.178772,1,1,0,0,0,0,0,0
17,1,2,1,1,1.041016,3,3,0,0,33,33,0,0
17,1,0,2,0,2.418701,0,0,0,0,0,0,0,0
17,1,0,2,1,0.4403687,0,0,0,0,0,0,0,0
17,1,1,2,0,4.684631,2,2,0,0,2,2,0,0
17,1,1,2,1,1.241211,1,1,0,0,0,0,0,0
17,1,2,2,0,1.579102,9,9,0,0,0,0,0,0
17,1,2,2,1,1.621948,4,4,0,0,0,0,0,0
17,1,0,3,0,0.9194946,0,0,0,0,0,0,0,0
17,1,0,3,1,0.8608398,0,0,0,0,0,0,0,0
