SubjectID,Condition,TravelType,Level,Pass,Duration
11,1,0,2,1,13.453
11,1,1,2,0,87.61191
11,1,1,2,1,53.23193
11,1,2,2,0,22.36194
11,1,2,2,1,22.422
11,1,0,3,0,32.63177
11,1,0,3,1,17.91699
11,1,1,3,0,96.38699
11,1,1,3,1,63.00098
11,1,2,3,0,26.32568
11,1,2,3,1,26.44604
12,0,0,1,0,12.95291
12,0,0,1,1,10.8941
12,0,1,1,0,23.80688
12,0,1,1,1,22.66211
12,0,2,1,0,8.781891
12,0,2,1,1,7.467163
12,0,0,2,0,10.1944
12,0,0,2,1,11.13391
12,0,1,2,0,54.11029
12,0,1,2,1,50.82959
12,0,2,2,0,8.621796
12,0,2,2,1,9.329102
12,0,0,3,0,8.515289
12,0,0,3,1,10.95401
12,0,1,3,0,58.1524
12,0,1,3,1,54.43311
12,0,2,3,0,9.174896
12,0,2,3,1,11.27798
15,1,0,1,0,30.68988
15,1,0,1,1,17.27698
15,1,1,1,0,38.61737
15,1,1,1,1,65.58411
15,1,2,1,0,23.94336
15,1,2,1,1,20.56104
15,1,0,2,0,16.51605
15,1,0,2,1,23.08301
15,1,1,2,0,162.2984
15,1,1,2,1,94.83301
15,1,2,2,0,29.40381
15,1,2,2,1,23.703
15,1,0,3,0,27.80701
15,1,0,3,1,18.63806
15,1,1,3,0,161.7378
15,1,1,3,1,99.297
15,1,2,3,0,31.31061
15,1,2,3,1,31.83105
16,0,0,1,0,16.4035
16,0,0,1,1,17.41711
16,0,1,1,0,24.78641
16,0,1,1,1,25.5249
16,0,2,1,0,19.4693
16,0,2,1,1,11.79089
16,0,0,2,0,11.29382
16,0,0,2,1,22.9024
16,0,1,2,0,53.93039
16,0,1,2,1,56.4151
16,0,2,2,0,22.68489
16,0,2,2,1,10.44995
16,0,0,3,0,15.27161
16,0,0,3,1,20.68011
16,0,1,3,0,56.00922
16,0,1,3,1,56.91571
16,0,2,3,0,25.32539
16,0,2,3,1,11.771
17,1,0,1,0,22.16782
17,1,0,1,1,17.91699
17,1,1,1,0,31.45068
17,1,1,1,1,31.37061
17,1,2,1,0,31.1228
17,1,2,1,1,25.66492
17,1,0,2,0,21.90802
17,1,0,2,1,18.07764
17,1,1,2,0,72.27051
17,1,1,2,1,66.84521
17,1,2,2,0,31.36279
17,1,2,2,1,34.87402
17,1,0,3,0,18.1301
17,1,0,3,1,26.66595
17,1,1,3,0,81.0954
17,1,1,3,1,61.18024
17,1,2,3,0,30.6908
17,1,2,3,1,27.927
18,0,0,1,0,8.361801
18,0,0,1,1,10.27002
18,0,1,1,0,24.45879
18,0,1,1,1,22.58499
18,0,2,1,0,12.5627
18,0,2,1,1,13.31287
18,0,0,2,0,15.88339
18,0,0,2,1,7.627441
18,0,1,2,0,50.19241
18,0,1,2,1,51.0719
18,0,2,2,0,9.962097
18,0,2,2,1,9.449158
18,0,0,3,0,15.34329
18,0,0,3,1,8.20813
18,0,1,3,0,52.0314
18,0,1,3,1,53.5722
18,0,2,3,0,11.3024
18,0,2,3,1,9.709473
19,1,0,1,0,20.8844
19,1,0,1,1,17.13672
19,1,1,1,0,32.28229
19,1,1,1,1,28.56793
19,1,2,1,0,23.08728
19,1,2,1,1,23.1626
19,1,0,2,0,12.95279
19,1,0,2,1,12.99261
19,1,1,2,0,61.09509
19,1,1,2,1,67.5058
19,1,2,2,0,22.34769
19,1,2,2,1,24.48376
19,1,0,3,0,20.6687
19,1,0,3,1,21.56104
19,1,1,3,0,64.34473
19,1,1,3,1,53.01166
19,1,2,3,0,27.73169
19,1,2,3,1,18.99847
20,0,0,1,0,12.0426
20,0,0,1,1,9.449158
20,0,1,1,0,22.6676
20,0,1,1,1,20.53998
20,0,2,1,0,24.0867
20,0,2,1,1,35.33447
20,0,0,2,0,13.1629
20,0,0,2,1,10.65039
20,0,1,2,0,47.15408
20,0,1,2,1,44.94391
20,0,2,2,0,31.10291
20,0,2,2,1,25.54492
20,0,0,3,0,17.6512
20,0,0,3,1,16.9165
20,0,1,3,0,49.05301
20,0,1,3,1,50.76965
20,0,2,3,0,31.86252
20,0,2,3,1,27.24664
22,0,0,1,0,8.881897
22,0,0,1,1,8.688354
22,0,1,1,0,25.8855
22,0,1,1,1,24.604
22,0,2,1,0,8.475311
22,0,2,1,1,9.394897
22,0,0,2,0,7.901688
22,0,0,2,1,9.148926
22,0,1,2,0,52.66312
22,0,1,2,1,54.27289
22,0,2,2,0,9.3349
22,0,2,2,1,11.35095
22,0,0,3,0,10.1022
22,0,0,3,1,5.225098
22,0,1,3,0,59.30737
22,0,1,3,1,58.67447
22,0,2,3,0,14.33218
22,0,2,3,1,8.508301
23,1,0,1,0,15.11481
23,1,0,1,1,25.18494
23,1,1,1,0,58.39703
23,1,1,1,1,43.28198
23,1,2,1,0,26.86707
23,1,2,1,1,26.18604
23,1,0,2,0,15.01459
23,1,0,2,1,15.53503
23,1,1,2,0,77.43555
23,1,1,2,1,113.871
23,1,2,2,0,32.97192
23,1,2,2,1,22.06201
23,1,0,3,0,20.17957
23,1,0,3,1,18.81897
23,1,1,3,0,159.1353
23,1,1,3,1,133.53
23,1,2,3,0,23.2627
23,1,2,3,1,22.302
24,0,0,1,0,10.49432
24,0,0,1,1,12.0918
24,0,1,1,0,25.64549
24,0,1,1,1,23.38281
24,0,2,1,0,11.71359
24,0,2,1,1,14.97473
24,0,0,2,0,11.01389
24,0,0,2,1,5.765564
24,0,1,2,0,55.8093
24,0,1,2,1,50.24908
24,0,2,2,0,16.57092
24,0,2,2,1,10.4903
24,0,0,3,0,11.18239
24,0,0,3,1,6.706543
24,0,1,3,0,56.34912
24,0,1,3,1,60.39893
24,0,2,3,0,12.69299
24,0,2,3,1,11.37109
25,1,0,1,0,32.67188
25,1,0,1,1,24.86401
25,1,1,1,0,98.9256
25,1,1,1,1,17.63696
25,1,2,1,0,52.29114
25,1,2,1,1,41.16003
25,1,0,2,0,33.53271
25,1,0,2,1,30.229
25,1,1,2,0,90.07608
25,1,1,2,1,83.16101
25,1,2,2,0,36.99615
25,1,2,2,1,34.073
25,1,0,3,0,39.6582
25,1,0,3,1,36.396
25,1,1,3,0,104.9624
25,1,1,3,1,89.66699
25,1,2,3,0,34.31348
